OG,category
COG0416,Lipid metabolism
COG4569,Secondary structure
COG4568,Transcription
COG3610,Function unknown
COG3611,Replication and repair
COG3616,Amino acid metabolism and transport
COG3617,Transcription
COG3614,Signal transduction
COG3615,Inorganic ion transport and metabolism
COG1849,Function unknown
COG3618,General functional prediction only
COG3619,Function unknown
COG4565,Transcription
COG4564,Signal transduction
COG4567,Signal transduction
COG1314,Intracellular trafficing and secretion
COG1579,General functional prediction only
COG0098,Translation
COG0095,Coenzyme metabolism
COG0094,Translation
COG0097,Translation
COG0096,Translation
COG0091,Translation
COG2746,Defense mechanisms
COG0093,Translation
COG0092,Translation
COG0675,Replication and repair
COG5282,Function unknown
COG0677,Cell wall/membrane/envelope biogenesis
COG5280,Function unknown
COG0671,Lipid metabolism
COG0670,General functional prediction only
COG0673,General functional prediction only
COG4665,Secondary structure
COG1272,General functional prediction only
COG1273,Function unknown
COG1270,Coenzyme metabolism
COG1271,Energy production and conversion
COG1276,Inorganic ion transport and metabolism
COG1277,General functional prediction only
COG1274,Energy production and conversion
COG1275,Inorganic ion transport and metabolism
COG1659,Function unknown
COG0076,Amino acid metabolism and transport
COG0075,Amino acid metabolism and transport
COG0074,Energy production and conversion
COG1078,General functional prediction only
COG0072,Translation
COG0071,"Post-translational modification, protein turnover, chaperone functions"
COG0070,Amino acid metabolism and transport
COG1074,Replication and repair
COG1075,General functional prediction only
COG1076,"Post-translational modification, protein turnover, chaperone functions"
COG1077,Cell cycle control and mitosis
COG1070,Carbohydrate metabolism and transport
COG1071,Energy production and conversion
COG0079,Amino acid metabolism and transport
COG1073,General functional prediction only
COG4590,General functional prediction only
COG3576,General functional prediction only
COG4315,Function unknown
COG1470,Function unknown
COG1471,Translation
COG1472,Carbohydrate metabolism and transport
COG1473,General functional prediction only
COG1474,Replication and repair
COG1475,Transcription
COG1476,Transcription
COG1477,Coenzyme metabolism
COG1478,Function unknown
COG1479,Function unknown
COG3504,Intracellular trafficing and secretion
COG3505,Intracellular trafficing and secretion
COG3502,Function unknown
COG3503,Function unknown
COG3500,General functional prediction only
COG3501,Function unknown
COG2929,Function unknown
COG2928,Function unknown
COG2927,Replication and repair
COG2926,Function unknown
COG2925,Replication and repair
COG2924,Energy production and conversion
COG2923,Inorganic ion transport and metabolism
COG2922,Function unknown
COG2921,Function unknown
COG2920,Inorganic ion transport and metabolism
COG1618,Nucleotide metabolism and transport
COG1619,Defense mechanisms
COG5599,Signal transduction
COG3233,General functional prediction only
COG5597,Cell wall/membrane/envelope biogenesis
COG3292,Signal transduction
COG1612,"Post-translational modification, protein turnover, chaperone functions"
COG5594,Function unknown
